"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-3.734954596E-1,5.075707436E-1,1.007839203E1
2.333854200E-2,-3.351882398E-1,5.698199868E-1,1.014064121E1
4.827400000E-2,-3.543418646E-1,6.033388376E-1,1.009275723E1
6.833991700E-2,-3.256114423E-1,6.320692301E-1,9.968258858E0
9.333458400E-2,-3.591302633E-1,5.793967843E-1,1.015500641E1
1.136937920E-1,-3.016694188E-1,5.650315881E-1,1.028429317E1
1.393375840E-1,-3.351882398E-1,6.224924326E-1,1.015500641E1
1.598221670E-1,-3.591302633E-1,7.757213712E-1,9.815030098E0
1.824552500E-1,-2.585737705E-1,1.163581967E0,9.977835655E0
2.033349170E-1,-3.495534360E-1,1.273715258E0,9.498994827E0
2.283358750E-1,-3.926490843E-1,6.655880809E-1,1.004966164E1
2.533370000E-1,-2.202665508E-1,-1.053448766E-1,1.051892471E1
2.794702090E-1,-2.777273953E-1,-3.878606856E-1,1.044231033E1
3.000659590E-1,-2.920926213E-1,-2.250549644E-1,1.014064121E1
3.233988750E-1,-3.543418646E-1,9.097966552E-2,1.025077438E1
3.482164590E-1,-3.687070608E-1,3.495534360E-1,9.977835655E0
3.683865840E-1,-4.022258818E-1,4.022258818E-1,1.001135445E1
3.933872500E-1,-4.165911078E-1,3.543418646E-1,1.002093124E1
4.134307500E-1,-4.309563041E-1,3.878606856E-1,1.015979481E1
4.394293750E-1,-4.309563041E-1,5.889736414E-1,9.963470459E0
4.597464590E-1,-4.261679053E-1,6.272808313E-1,9.834183693E0
4.797788750E-1,-3.830722570E-1,4.884171486E-1,1.034175396E1
5.034167090E-1,-4.453215301E-1,3.495534360E-1,1.026992798E1
5.283601670E-1,-3.256114423E-1,3.782838583E-1,1.017416000E1
5.502095000E-1,-2.681505978E-1,5.171475410E-1,1.015979481E1
5.733759170E-1,-3.112462163E-1,4.644751251E-1,9.996989250E0
5.934750840E-1,-3.016694188E-1,3.303998411E-1,1.015021801E1
6.192774590E-1,-3.543418646E-1,1.388636976E-1,9.982624054E0
6.395439590E-1,-3.447650373E-1,-1.915361360E-2,1.013106441E1
6.598822500E-1,-3.639186621E-1,-2.873042040E-2,1.029386997E1
6.836282920E-1,-3.687070608E-1,2.106897533E-1,1.018373680E1
7.083254590E-1,-3.926490843E-1,5.506663918E-1,9.929951668E0
7.283514590E-1,-3.639186621E-1,4.979939461E-1,1.015500641E1
7.484087920E-1,-3.974374831E-1,3.687070608E-1,1.013106441E1
7.733287920E-1,-4.070142806E-1,3.926490843E-1,1.012627602E1
7.934754170E-1,-3.782838583E-1,3.734954596E-1,1.019331360E1
8.162358750E-1,-3.926490843E-1,3.830722570E-1,1.035611916E1
8.399431670E-1,-3.782838583E-1,4.548983276E-1,1.005445004E1
8.633912500E-1,-3.256114423E-1,3.591302633E-1,1.003050804E1
8.833961250E-1,-4.548983276E-1,2.729389966E-1,1.011669922E1
9.034080840E-1,-3.495534360E-1,2.154781520E-1,9.992200851E0
9.283439590E-1,-2.825157940E-1,2.202665508E-1,1.014064121E1
9.484437090E-1,-4.165911078E-1,2.585737705E-1,1.034175396E1
9.684467920E-1,-4.740519226E-1,4.118026793E-1,1.012627602E1
9.934852090E-1,-3.687070608E-1,5.363011956E-1,1.006402683E1
1.019737209E0,-2.825157940E-1,3.160346150E-1,1.010233402E1
1.043268125E0,-3.830722570E-1,0.000000000E0,1.013106441E1
1.063372834E0,-2.537853718E-1,-2.873042040E-2,1.033696556E1
1.088407875E0,-3.112462163E-1,3.687070608E-1,9.944316864E0
1.109013750E0,-3.782838583E-1,4.932055473E-1,1.021246719E1
1.133616417E0,-4.692635238E-1,5.171475410E-1,9.939528465E0
1.160546417E0,-4.501099288E-1,3.447650373E-1,1.009275723E1
1.183529376E0,-2.968810201E-1,1.436520964E-1,1.010712242E1
1.205525251E0,-1.532289088E-1,9.576806426E-2,1.013585281E1
